Country,"Density
(P/Km2)",Land Area(Km2),Calling Code,Capital/Major City,GDP,Official language,Population,Urban_population,Latitude,Longitude
Slovenia,103,"20,273",386.0,Ljubljana,"$53,742,159,517 ",Slovene language,"2,087,946","1,144,654",46.151241,14.995463
Solomon Islands,25,"28,896",677.0,Honiara,"$1,425,074,226 ",English,"669,823","162,164",-9.64571,160.156194
Somalia,25,"637,657",252.0,Mogadishu,"$4,720,727,278 ",Arabic,"15,442,905","7,034,861",5.152149,46.199616
South Africa,49,"1,219,090",27.0,Pretoria,"$351,431,649,241 ",Afrikaans,"58,558,270","39,149,717",-30.559482,22.937506
South Korea,527,"99,720",82.0,Seoul,"$2,029,000,000,000 ",Korean,"51,709,098","42,106,719",35.907757,127.766922
South Sudan,18,"644,329",211.0,Juba,"$11,997,800,751 ",English,"11,062,113","2,201,250",6.8769919,31.3069788
Spain,94,"505,370",34.0,Madrid,"$1,394,116,310,769 ",Spanish,"47,076,781","37,927,409",40.463667,-3.74922
Sri Lanka,341,"65,610",94.0,Colombo,"$84,008,783,756 ",Tamil,"21,803,000","4,052,088",7.873054,80.771797
Sudan,25,"1,861,484",249.0,Khartoum,"$18,902,284,476 ",Arabic,"42,813,238","14,957,233",12.862807,30.217636
Suriname,4,"163,820",597.0,Paramaribo,"$3,985,250,737 ",Dutch,"581,372","384,258",3.919305,-56.027783
Sweden,25,"450,295",46.0,Stockholm,"$530,832,908,738 ",Swedish,"10,285,453","9,021,165",60.128161,18.643501
Switzerland,219,"41,277",41.0,Bern,"$703,082,435,360 ",German,"8,574,832","6,332,428",46.818188,8.227512
Syria,95,"185,180",963.0,Damascus,"$40,405,006,007 ",Arabic,"17,070,135","9,358,019",34.802075,38.996815
Tajikistan,68,"144,100",992.0,Dushanbe,"$8,116,626,794 ",Persian,"9,321,018","2,545,477",38.861034,71.276093
Tanzania,67,"947,300",255.0,Dodoma,"$63,177,068,175 ",Swahili,"58,005,463","20,011,885",-6.369028,34.888822
Thailand,137,"513,120",66.0,Bangkok,"$543,649,976,166 ",Thai,"69,625,582","35,294,600",15.870032,100.992541
East Timor,89,"14,874",670.0,Dili,"$1,673,540,300 ",Portuguese,"3,500,000","400,182",-8.874217,125.727539
Togo,152,"56,785",228.0,Lom�,"$5,459,979,417 ",French,"8,082,366","3,414,638",8.619543,0.824782
Tonga,147,747,676.0,Nuku����,"$450,353,314 ",Tongan Language,"100,209","24,145",-21.178986,-175.198242
Trinidad and Tobago,273,"5,128",1.0,Port of Spain,"$24,100,202,834 ",English,"1,394,973","741,944",10.691803,-61.222503
Tunisia,76,"163,610",216.0,Tunis,"$38,797,709,924 ",Arabic,"11,694,719","8,099,061",33.886917,9.537499
Turkey,110,"783,562",90.0,Ankara,"$754,411,708,203 ",Turkish,"83,429,615","63,097,818",38.963745,35.243322
Turkmenistan,13,"488,100",993.0,Ashgabat,"$40,761,142,857 ",Turkmen,"5,942,089","3,092,738",38.969719,59.556278
Tuvalu,393,26,688.0,Funafuti,"$47,271,463 ",Tuvaluan Language,"11,646","7,362",-7.109535,177.64933
Uganda,229,"241,038",256.0,Kampala,"$34,387,229,486 ",Swahili,"44,269,594","10,784,516",1.373333,32.290275
Ukraine,75,"603,550",380.0,Kyiv,"$153,781,069,118 ",Ukrainian,"44,385,155","30,835,699",48.379433,31.16558
United Arab Emirates,118,"83,600",971.0,Abu Dhabi,"$421,142,267,938 ",Arabic,"9,770,529","8,479,744",23.424076,53.847818
United Kingdom,281,"243,610",44.0,London,"$2,827,113,184,696 ",English,"66,834,405","55,908,316",55.378051,-3.435973
United States,36,"9,833,517",1.0,"Washington, D.C.","$21,427,700,000,000 ",None,"328,239,523","270,663,028",37.09024,-95.712891
Uruguay,20,"176,215",598.0,Montevideo,"$56,045,912,952 ",Spanish,"3,461,734","3,303,394",-32.522779,-55.765835
Uzbekistan,79,"447,400",998.0,Tashkent,"$57,921,286,440 ",Uzbek,"33,580,650","16,935,729",41.377491,64.585262
Vanuatu,25,"12,189",678.0,Port Vila,"$917,058,851 ",French,"299,882","76,152",-15.376706,166.959158
Venezuela,32,"912,050",58.0,Caracas,"$482,359,318,768 ",Spanish,"28,515,829","25,162,368",6.42375,-66.58973
Vietnam,314,"331,210",84.0,Hanoi,"$261,921,244,843 ",Vietnamese,"96,462,106","35,332,140",14.058324,108.277199
Yemen,56,"527,968",967.0,Sanaa,"$26,914,402,224 ",Arabic,"29,161,922","10,869,523",15.552727,48.516388
Zambia,25,"752,618",260.0,Lusaka,"$23,064,722,446 ",English,"17,861,030","7,871,713",-13.133897,27.849332
Zimbabwe,38,"390,757",263.0,Harare,"$21,440,758,800 ",Shona,"14,645,468","4,717,305",-19.015438,29.154857
